Zaman			Değer(CM)
25.01.2021 13:16:06        150
25.01.2021 13:16:06        5
25.01.2021 13:16:06        5
25.01.2021 13:16:06        5
25.01.2021 13:16:06        5
25.01.2021 13:16:06        5
25.01.2021 13:16:06        5
25.01.2021 13:16:07        5
25.01.2021 13:16:07        5
25.01.2021 13:16:07        5
25.01.2021 13:16:07        5
25.01.2021 13:16:07        5
25.01.2021 13:16:07        5
25.01.2021 13:16:07        5
25.01.2021 13:16:07        5
25.01.2021 13:16:07        5
25.01.2021 13:16:08        5
25.01.2021 13:16:08        5
25.01.2021 13:16:08        5
25.01.2021 13:16:08        5
25.01.2021 13:16:08        5
25.01.2021 13:16:08        5
25.01.2021 13:16:08        5
25.01.2021 13:16:08        5
25.01.2021 13:16:08        5
25.01.2021 13:16:09        5
